"filename", "language", "JSON", "Markdown", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "Prisma", "comment", "blank", "total"
"c:\Users\ronuh\Desktop\next-social\.eslintrc.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ronuh\Desktop\next-social\README.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 14, 35
"c:\Users\ronuh\Desktop\next-social\components.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\ronuh\Desktop\next-social\components\auth-buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\ronuh\Desktop\next-social\components\auth-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\ronuh\Desktop\next-social\components\edit-profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 8, 123
"c:\Users\ronuh\Desktop\next-social\components\main-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 1, 3, 72
"c:\Users\ronuh\Desktop\next-social\components\new-post.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\ronuh\Desktop\next-social\components\post.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 1, 6, 47
"c:\Users\ronuh\Desktop\next-social\components\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 6, 59
"c:\Users\ronuh\Desktop\next-social\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\ronuh\Desktop\next-social\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"c:\Users\ronuh\Desktop\next-social\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 9, 77
"c:\Users\ronuh\Desktop\next-social\components\ui\dialog-crossless.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 4, 13, 124
"c:\Users\ronuh\Desktop\next-social\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 13, 129
"c:\Users\ronuh\Desktop\next-social\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 187, 0, 0, 19, 206
"c:\Users\ronuh\Desktop\next-social\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 25, 177
"c:\Users\ronuh\Desktop\next-social\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\ronuh\Desktop\next-social\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\ronuh\Desktop\next-social\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\ronuh\Desktop\next-social\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\ronuh\Desktop\next-social\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 13, 128
"c:\Users\ronuh\Desktop\next-social\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\ronuh\Desktop\next-social\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 0, 156, 0, 0, 3, 31, 190
"c:\Users\ronuh\Desktop\next-social\lib\actions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\ronuh\Desktop\next-social\lib\prisma.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\ronuh\Desktop\next-social\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\ronuh\Desktop\next-social\next.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"c:\Users\ronuh\Desktop\next-social\package-lock.json", "JSON", 5397, 0, 0, 0, 0, 0, 0, 0, 1, 5398
"c:\Users\ronuh\Desktop\next-social\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\ronuh\Desktop\next-social\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\ronuh\Desktop\next-social\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 60, 2, 14, 76
"c:\Users\ronuh\Desktop\next-social\tailwind.config.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 1, 0, 76
"c:\Users\ronuh\Desktop\next-social\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 2, 1, 29
"Total", "-", 5470, 21, 26, 87, 186, 1349, 60, 15, 239, 7453